149, 4
252, 6
495, 9
652, 10
712, 4
869, 10
1316, 27
1500, 13
1569, 0
1716, 4
1914, 5
2045, 9
2437, 24
2526, 2
2656, 4
2810, 10
2870, 4
2939, 5
3218, 20
3484, 12
3550, 0
3911, 25
3987, 6
4094, 3
4318, 3
4409, 0
4475, 0
4573, 1
4721, 12
4899, 5
5188, 17
5323, 6
5449, 9
5593, 1
5695, 10
5836, 0
5976, 4
6036, 4
6201, 5
6369, 6
6428, 4
6639, 5
6898, 10
6993, 6
7130, 1
7301, 9
7361, 0
7583, 1
7788, 8
7956, 4
8073, 6
8304, 11
8435, 0
8549, 3
8847, 21
9010, 6
9152, 0
9326, 6
9389, 4
9462, 2
9734, 5
9854, 1
10248, 26
10388, 7
10497, 10
10774, 17
10922, 7
11015, 7
11325, 8
11537, 14
11654, 2
11791, 9
12020, 8
12105, 4
12193, 0
12383, 10
12547, 6
12782, 4
12926, 6
12999, 4
13123, 2
13335, 16
13638, 12
13719, 7
13919, 13
14629, 24
14821, 6
14966, 1
15041, 10
15118, 0
15267, 16
15361, 6
15534, 6
15676, 16
15770, 4
15901, 6
16055, 1
16365, 10
16436, 3
16624, 13
16716, 3
16893, 7
17067, 9
17263, 0
17357, 5
17566, 4
17680, 1
17838, 11
18079, 13
18174, 1
18289, 14
18435, 6
18742, 25
18890, 6
19030, 13
19090, 4
19377, 13
19541, 7
19696, 6
19872, 12
20379, 33
20489, 10
20560, 3
20672, 1
20822, 10
20965, 3
21220, 18
21288, 0
21387, 0
21669, 24
21846, 6
21924, 0
22097, 11
22176, 3
22342, 0
22616, 12
22794, 17
23293, 29
23457, 4
23518, 4
23586, 0
23755, 13
23817, 1
24453, 23
24617, 1
24733, 7
24842, 0
25001, 13
25062, 4
25203, 9
25394, 8
25481, 5
25591, 0
25809, 13
26021, 3
26087, 0
26292, 13
26416, 6
26487, 0
26658, 6
26815, 10
26949, 6
27120, 10
27180, 4
27310, 0
27658, 23
27715, 4
27781, 5
27937, 10
28039, 7
28410, 15
28566, 7
28637, 6
28862, 3
28968, 0
29039, 6
29114, 6
29212, 1
29314, 5
29534, 13
29740, 4
29850, 4
29918, 0
30052, 0
30111, 4
30180, 5
30322, 1
30419, 13
30695, 8
30877, 6
30951, 0
31167, 9
31334, 8
31565, 12
31723, 2
31910, 6
32089, 9
32220, 1
32511, 23
32656, 3
32954, 18
33183, 6
33293, 1
33433, 12
33797, 11
33855, 4
33921, 2
34166, 11
34234, 0
34347, 0
34502, 18
34708, 15
34920, 0
35060, 4
35119, 4
35308, 12
35604, 20
35971, 33
36091, 6
36238, 0
36460, 22
36546, 5
36694, 0
36767, 1
36906, 11
37003, 1
37101, 2
37161, 4
37245, 1
37355, 2
37486, 13
37628, 5
37891, 22
37968, 6
38128, 6
